,date,close,high,low,open,volume,tic,day
0,2010-07-01,7.445207595825196,7.634574124414388,7.287602580025077,7.619592278759165,1022896000,AAPL,3
1,2010-07-01,7.389999866485596,7.53000020980835,7.099999904632568,7.349999904632568,27289900,AMD,3
2,2010-07-01,40.6756477355957,41.17078202978845,39.38015866794573,40.47216569116493,11598200,CAT,3
3,2010-07-01,39.161720275878906,39.34718441535223,38.67665686971027,39.040453063771146,5376600,COST,3
4,2010-07-01,117.04000091552734,121.02999877929688,116.9800033569336,120.91000366210938,33248900,GLD,3
5,2010-07-01,37.33646011352539,37.45023316667147,37.07099126362535,37.33646011352539,17973500,JNJ,3
6,2010-07-01,77.5715560913086,78.1226158747654,76.34109664631393,77.86595915573811,382924800,SPY,3
7,2010-07-01,64.8084487915039,65.48460324993104,64.66811475547891,64.7893132168871,12893400,TLT,3
8,2010-07-01,1.4639999866485596,1.7280000448226929,1.3513330221176147,1.6666669845581055,123282000,TSLA,3
9,2010-07-02,7.399065017700195,7.518617344169848,7.287002413815452,7.505432520061662,693842800,AAPL,4
10,2010-07-02,7.170000076293945,7.480000019073486,7.019999980926514,7.449999809265137,26074800,AMD,4
11,2010-07-02,40.13979721069336,41.14363095842806,39.759967176126004,40.89945469244765,7878200,CAT,4
12,2010-07-02,38.68379592895508,39.36145840279079,38.348530735123035,39.36145840279079,3385200,COST,4
13,2010-07-02,118.48999786376953,118.5,117.41000366210938,118.20999908447266,14732800,GLD,4
14,2010-07-02,37.34276580810547,37.66512104326612,37.19738731746814,37.55766769077246,10534400,JNJ,4
15,2010-07-02,77.14884185791016,78.06979767056198,76.71101522113398,77.8357863854501,233385200,SPY,4
16,2010-07-02,64.2917709350586,64.70639290975497,63.88990925494599,64.49589184876083,6297600,TLT,4
17,2010-07-02,1.2799999713897705,1.5399999618530273,1.24733304977417,1.5333329439163208,77097000,TSLA,4
18,2010-07-06,7.449705600738525,7.57465064423314,7.375696453037729,7.520717577982164,615235600,AAPL,1
19,2010-07-06,7.039999961853027,7.420000076293945,6.960000038146973,7.400000095367432,25868800,AMD,1
20,2010-07-06,40.56711959838867,41.815130040408484,40.160158152962744,41.10294815775843,9357300,CAT,1
21,2010-07-06,38.519737243652344,39.02619980248791,38.17020509729142,39.011932906602546,3364700,COST,1
22,2010-07-06,116.51000213623047,117.72000122070312,116.30000305175781,117.66999816894531,16846900,GLD,1
23,2010-07-06,37.34276580810547,37.67144069404332,37.083614314197284,37.608234541630694,15461100,JNJ,1
24,2010-07-06,77.65462493896484,78.78694664887476,76.90728846373835,78.23588088263274,256935300,SPY,1
25,2010-07-06,64.82122802734375,64.90415049712313,64.25989171921337,64.31730332646657,6620400,TLT,1
26,2010-07-06,1.0740000009536743,1.3333330154418945,1.0553330183029175,1.3333330154418945,103003500,TSLA,1
27,2010-07-07,7.750528812408447,7.753525981175198,7.48325992808137,7.505431456029963,654556000,AAPL,2
28,2010-07-07,7.389999866485596,7.409999847412109,7.039999961853027,7.039999961853027,23676900,AMD,2
29,2010-07-07,42.17460250854492,42.23564658449335,40.472152494528,40.594240646424865,7592900,CAT,2
30,2010-07-07,38.72659683227539,38.75513061938952,38.09886712142318,38.348530955842506,4813000,COST,2
31,2010-07-07,117.7300033569336,117.77999877929688,116.5,116.56999969482422,10930100,GLD,2
32,2010-07-07,38.30984878540039,38.36673530910249,37.317496858389056,37.50079814711372,17280000,JNJ,2
33,2010-07-07,80.10043334960938,80.19856581849207,77.76784777418901,77.85088515527656,253769400,SPY,2
34,2010-07-07,64.06217193603516,64.75108224950742,64.00476030993114,64.71918636093527,5727800,TLT,2
